,Area,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
136,0.25,0.0,36.0,36.0,36.0
137,184.0,133.90001794687493,35.0,75.2663043478261,156.0
138,1690.75,1189.8488988634035,35.0,66.87402040514564,157.0
139,0.25,0.0,39.0,39.0,39.0
140,0.5,0.0,35.0,38.0,41.0
141,126.0,112.55077554195744,35.0,55.32936507936508,80.0
142,0.25,0.0,44.0,44.0,44.0
143,155.0,131.48885271170678,35.0,58.64677419354839,96.0
144,0.25,0.0,35.0,35.0,35.0
145,0.25,0.0,40.0,40.0,40.0
146,0.5,0.0,37.0,41.5,46.0
147,0.25,0.0,43.0,43.0,43.0
148,0.25,0.0,38.0,38.0,38.0
149,0.25,0.0,41.0,41.0,41.0
150,0.25,0.0,43.0,43.0,43.0
151,0.75,0.6035533905932737,35.0,39.0,46.0
152,204.25,127.53910524340094,35.0,79.86046511627907,156.0
153,0.25,0.0,35.0,35.0,35.0
154,318.5,240.4538418160373,35.0,73.90345368916797,155.0
155,0.25,0.0,47.0,47.0,47.0
156,0.5,0.0,38.0,38.0,38.0
157,0.25,0.0,36.0,36.0,36.0
